query_category,method,top1_type_match,hit_at_3,ndcg_at_5,avg_relevance_at_5
everyday,baseline,1.0,1.0,1.0,1.92
everyday,flan,1.0,1.0,0.977014595294061,1.8399999999999999
everyday,hybrid,1.0,1.0,1.0,1.92
extreme_cold,baseline,1.0,1.0,1.0,2.3333333333333335
extreme_cold,flan,1.0,1.0,0.9914770769630109,2.3000000000000003
extreme_cold,hybrid,1.0,1.0,1.0,2.3333333333333335
gender_specific,baseline,1.0,1.0,1.0,1.5
gender_specific,flan,0.5,0.5,0.5,0.5
gender_specific,hybrid,1.0,1.0,1.0,1.5
hiking,baseline,1.0,1.0,1.0,2.0
hiking,flan,1.0,1.0,1.0,2.0
hiking,hybrid,1.0,1.0,1.0,2.0
hoody,baseline,1.0,1.0,1.0,1.5
hoody,flan,1.0,1.0,1.0,1.5
hoody,hybrid,1.0,1.0,1.0,1.5
travel,baseline,1.0,1.0,1.0,2.1666666666666665
travel,flan,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333
travel,hybrid,1.0,1.0,1.0,2.1666666666666665
vest,baseline,1.0,1.0,1.0,2.5
vest,flan,1.0,1.0,1.0,2.5
vest,hybrid,1.0,1.0,1.0,2.5
