query,method,expected,actual_constraints,actual_top1_name,actual_top1_price,actual_top1_type,actual_top_results,num_results,runtime_sec,parse_error
very warm long down jacket for extreme cold under $1500,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 1500.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": ""down"", ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""high"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""product_type"": ""jacket"", ""price_max"": 1500}",Canada Goose Men's Lodge Jacket - Updated,825.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Lodge Jacket - Updated"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Hybridge Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Lodge Hoody"", ""price"": 875.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 4, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}]",5,0.03,
very warm long down jacket for extreme cold under $1500,flan,"{""expected_type"": ""jacket"", ""expected_price_max"": 1500.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": ""down"", ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""high"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""price_max"": 1500, ""product_type"": ""jacket""}",Canada Goose Men's Lodge Jacket - Updated,825.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Lodge Jacket - Updated"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Hybridge Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Lodge Hoody"", ""price"": 875.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 4, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}]",5,5.6391,
very warm long down jacket for extreme cold under $1500,hybrid,"{""expected_type"": ""jacket"", ""expected_price_max"": 1500.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": ""down"", ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""high"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""product_type"": ""jacket"", ""price_max"": 1500}",Canada Goose Men's Lodge Jacket - Updated,825.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Lodge Jacket - Updated"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Hybridge Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 10.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Lodge Hoody"", ""price"": 875.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 4, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}]",5,5.5404,
parka for extreme cold,baseline,"{""expected_type"": ""parka"", ""expected_price_max"": NaN, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""high"", ""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka""}",Canada Goose Men's Chateau Parka Heritage,1775.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Men's Chateau Parka Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 3, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 4, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Montebello Parka Heritage"", ""price"": 1495.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}]",5,0.032,
parka for extreme cold,flan,"{""expected_type"": ""parka"", ""expected_price_max"": NaN, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""high"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka"", ""length"": ""long""}",Canada Goose Men's Chateau Parka Heritage,1775.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Men's Chateau Parka Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 3, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 4, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Montebello Parka Heritage"", ""price"": 1495.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}]",5,4.1473,
parka for extreme cold,hybrid,"{""expected_type"": ""parka"", ""expected_price_max"": NaN, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": NaN, ""expected_outerwear"": true}","{""warmth_level"": ""high"", ""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka""}",Canada Goose Men's Chateau Parka Heritage,1775.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Men's Chateau Parka Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 2, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 8.5}, {""rank"": 3, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 4, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Montebello Parka Heritage"", ""price"": 1495.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 7.5}]",5,4.5868,
women's long parka for freezing weather under $1600,baseline,"{""expected_type"": ""parka"", ""expected_price_max"": 1600.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": ""women"", ""expected_outerwear"": true}","{""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1600}",Canada Goose Women's Shelburne Parka Black Label - Updated,1475.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 2, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Chateau Parka Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 4, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Montebello Parka Heritage"", ""price"": 1495.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 9.5}]",5,0.036,
women's long parka for freezing weather under $1600,flan,"{""expected_type"": ""parka"", ""expected_price_max"": 1600.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": ""women"", ""expected_outerwear"": true}","{""length"": ""long"", ""insulation"": ""down""}",Canada Goose Women's Shelburne Parka,1475.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Women's Shelburne Parka"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": 3.0, ""score"": 4.5}, {""rank"": 2, ""name"": ""Canada Goose Women's Shelburne Parka Black Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": 3.0, ""score"": 4.5}, {""rank"": 3, ""name"": ""Canada Goose Men's MacMillan Parka Wool"", ""price"": 1425.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.5}, {""rank"": 4, ""name"": ""Canada Goose Men's MacMillan Parka Black Label"", ""price"": 1250.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.5}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 4.5}]",5,4.1393,
women's long parka for freezing weather under $1600,hybrid,"{""expected_type"": ""parka"", ""expected_price_max"": 1600.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": ""women"", ""expected_outerwear"": true}","{""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1600, ""insulation"": ""down""}",Canada Goose Women's Shelburne Parka Black Label - Updated,1475.0,parka,"[{""rank"": 1, ""name"": ""Canada Goose Women's Shelburne Parka Black Label - Updated"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}, {""rank"": 2, ""name"": ""Canada Goose Women's Shelburne Parka Tonal Label"", ""price"": 1475.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}, {""rank"": 3, ""name"": ""Canada Goose Men's Chateau Parka Black Label Heritage"", ""price"": 1775.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}, {""rank"": 4, ""name"": ""Canada Goose Men's Carson Parka"", ""price"": 1495.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}, {""rank"": 5, ""name"": ""Canada Goose Women's Elmwood Parka"", ""price"": 1295.0, ""product_type"": ""parka"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 11.5}]",5,3.5356,
warm men's jacket for winter under $1200,baseline,"{""expected_type"": ""jacket"", ""expected_price_max"": 1200.0, ""expected_use_case"": ""extreme_cold"", ""expected_insulation"": NaN, ""expected_gender"": ""men"", ""expected_outerwear"": true}","{""warmth_level"": ""medium"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",Canada Goose Men's Lodge Jacket Black Label,825.0,jacket,"[{""rank"": 1, ""name"": ""Canada Goose Men's Lodge Jacket Black Label"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 2, ""name"": ""Canada Goose Men's Lodge Jacket - Updated"", ""price"": 825.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 3, ""name"": ""Canada Goose Men's Crofton Puffer"", ""price"": 1125.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 4, ""name"": ""Canada Goose Men's Crofton Jacket"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}, {""rank"": 5, ""name"": ""Canada Goose Men's Crofton Jacket Black Label"", ""price"": 895.0, ""product_type"": ""jacket"", ""gender_norm"": ""men"", ""tei_level"": null, ""score"": 6.0}]",5,0.029,
