query,method,constraints,num_results,runtime_sec,parse_error,top1_name,top1_type,top1_price,price_detect,price_exact,type_detect,type_match,use_case_detect,use_case_match,ins_detect,ins_match,gender_detect,gender_match,constraint_exact_match,constraint_field_accuracy,num_predicted_fields,has_results,outerwear_precision_at_5,price_satisfaction_at_5,top1_type_match,top1_gender_match,hit_at_1,hit_at_3,mrr_at_5,ndcg_at_5,avg_relevance_at_5,query_category
very warm long down jacket for extreme cold under $1500,baseline,"{""warmth_level"": ""high"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""product_type"": ""jacket"", ""price_max"": 1500}",5,0.039,,Canada Goose Men's Lodge Jacket - Updated,jacket,825.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,6,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,extreme_cold
very warm long down jacket for extreme cold under $1500,flan,"{""warmth_level"": ""high"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""price_max"": 1500, ""product_type"": ""jacket""}",5,12.4436,,Canada Goose Men's Lodge Jacket - Updated,jacket,825.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,6,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,extreme_cold
very warm long down jacket for extreme cold under $1500,hybrid,"{""warmth_level"": ""high"", ""length"": ""long"", ""insulation"": ""down"", ""use_case"": ""extreme_cold"", ""product_type"": ""jacket"", ""price_max"": 1500}",5,5.422,,Canada Goose Men's Lodge Jacket - Updated,jacket,825.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,6,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,extreme_cold
parka for extreme cold,baseline,"{""warmth_level"": ""high"", ""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka""}",5,0.036,,Canada Goose Men's Chateau Parka Heritage,parka,1775.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,4,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,extreme_cold
parka for extreme cold,flan,"{""warmth_level"": ""high"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka"", ""length"": ""long""}",5,4.013,,Canada Goose Men's Chateau Parka Heritage,parka,1775.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,4,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,extreme_cold
parka for extreme cold,hybrid,"{""warmth_level"": ""high"", ""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka""}",5,3.6696,,Canada Goose Men's Chateau Parka Heritage,parka,1775.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,4,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,extreme_cold
women's long parka for freezing weather under $1600,baseline,"{""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1600}",5,0.034,,Canada Goose Women's Shelburne Parka Black Label - Updated,parka,1475.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,5,1.0,1.0,0.6,1.0,0.0,1.0,1.0,1.0,1.0,2.0,extreme_cold
women's long parka for freezing weather under $1600,flan,"{""length"": ""long"", ""insulation"": ""down""}",5,2.4853,,Canada Goose Women's Shelburne Parka,parka,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,extreme_cold
women's long parka for freezing weather under $1600,hybrid,"{""length"": ""long"", ""use_case"": ""extreme_cold"", ""product_type"": ""parka"", ""gender"": ""men"", ""price_max"": 1600, ""insulation"": ""down""}",5,2.5351,,Canada Goose Women's Shelburne Parka Black Label - Updated,parka,1475.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6,6,1.0,1.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0,2.0,extreme_cold
warm men's jacket for winter under $1200,baseline,"{""warmth_level"": ""medium"", ""product_type"": ""jacket"", ""gender"": ""men"", ""price_max"": 1200}",5,0.03,,Canada Goose Men's Lodge Jacket Black Label,jacket,825.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,extreme_cold
